transaction_id,store_id,store_name,emirate,transaction_date,transaction_time,customer_id,product_id,category,subcategory,quantity,unit_price,total_amount,payment_method
T0000001,S014,LuLu_Store_14,Dubai,2024-01-27,10:44,C01034,P0167,grocery,fresh,3,18.42,55.25,card
T0000002,S005,LuLu_Store_5,Dubai,2023-12-17,15:01,C03819,P0108,home,linen,3,488.23,1464.68,card
T0000003,S012,LuLu_Store_12,Fujairah,2023-06-19,22:53,C00737,P0094,electronics,tv,4,108.53,434.12,card
T0000004,S002,LuLu_Store_2,Fujairah,2023-03-05,14:44,C04235,P0020,grocery,pantry,3,2.03,6.1,cash
T0000005,S020,LuLu_Store_20,Dubai,2024-02-11,18:36,C00887,P0247,electronics,tv,2,182.58,365.16,mobile_pay
T0000006,S011,LuLu_Store_11,Dubai,2024-10-08,13:13,C02522,P0132,home,furniture,2,350.24,700.48,card
T0000007,S004,LuLu_Store_4,Abu Dhabi,2023-08-18,19:00,C01362,P0138,grocery,pantry,1,17.75,17.75,cash
T0000008,S005,LuLu_Store_5,Dubai,2023-09-27,15:41,C01042,P0111,home,kitchen,3,427.31,1281.93,cash
T0000009,S011,LuLu_Store_11,Dubai,2023-06-02,12:04,C03231,P0010,clothing,accessories,2,101.32,202.65,cash
T0000010,S011,LuLu_Store_11,Dubai,2023-11-13,22:23,C04548,P0183,grocery,snacks,1,27.57,27.57,cash
T0000011,S018,LuLu_Store_18,Abu Dhabi,2024-05-09,18:38,C03757,P0184,home,decor,3,324.9,974.71,card
T0000012,S012,LuLu_Store_12,Fujairah,2023-01-27,17:12,C02732,P0096,grocery,snacks,2,11.13,22.26,card
T0000013,S001,LuLu_Store_1,Dubai,2024-07-24,16:42,C03087,P0046,grocery,beverages,2,24.01,48.03,card
T0000014,S020,LuLu_Store_20,Dubai,2023-05-20,18:50,C00408,P0115,grocery,fresh,4,25.02,100.1,mobile_pay
T0000015,S017,LuLu_Store_17,Dubai,2023-09-13,19:57,C03469,P0248,electronics,audio,1,726.43,726.43,card
T0000016,S004,LuLu_Store_4,Abu Dhabi,2024-06-20,20:22,C01317,P0106,grocery,fresh,2,2.93,5.86,card
