customer_id,age,gender,nationality,emirate,income_bracket,marital_status,household_size
C00001,28,Female,British,Ras Al Khaimah,7000-15000 AED,Single,3
C00002,37,Female,Indian,Ajman,3000-7000 AED,Single,8
C00003,43,Female,British,Sharjah,7000-15000 AED,Single,2
C00004,31,Male,Other,Abu Dhabi,3000-7000 AED,Married,6
C00005,23,Male,Emirati,Dubai,<3000 AED,Single,6
C00006,30,Female,Indian,Sharjah,3000-7000 AED,Married,1
C00007,27,Other,Emirati,Dubai,3000-7000 AED,Other,2
C00008,33,Male,Bangladeshi,Ras Al Khaimah,<3000 AED,Married,7
C00009,20,Male,Indian,Dubai,7000-15000 AED,Married,1
C00010,31,Male,Emirati,Dubai,3000-7000 AED,Married,2
C00011,24,Male,Pakistani,Abu Dhabi,7000-15000 AED,Single,3
C00012,33,Male,Indian,Ajman,3000-7000 AED,Married,6
C00013,55,Female,Other,Sharjah,3000-7000 AED,Married,2
C00014,27,Male,Bangladeshi,Dubai,<3000 AED,Single,2
C00015,20,Male,Jordanian,Sharjah,3000-7000 AED,Single,1
C00016,24,Female,Indian,Dubai,<3000 AED,Single,5
C00017,47,Female,Pakistani,Dubai,<3000 AED,Married,8
C00018,39,Female,Indian,Dubai,3000-7000 AED,Single,4
C00019,37,Male,American,Abu Dhabi,7000-15000 AED,Married,8
C00020,42,Female,Other,Abu Dhabi,<3000 AED,Single,3
C00021,38,Male,Filipino,Dubai,3000-7000 AED,Single,6
C00022,41,Male,Egyptian,Dubai,>15000 AED,Single,5
C00023,45,Female,Emirati,Dubai,7000-15000 AED,Single,4
C00024,27,Male,Other,Abu Dhabi,>15000 AED,Single,7
C00025,45,Male,Filipino,Abu Dhabi,3000-7000 AED,Married,3
C00026,28,Female,British,Dubai,3000-7000 AED,Married,2
C00027,40,Female,Pakistani,Dubai,3000-7000 AED,Single,2
C00028,43,Female,Egyptian,Dubai,>15000 AED,Married,4
C00029,30,Female,Filipino,Dubai,<3000 AED,Single,1
C00030,44,Female,Indian,Ajman,3000-7000 AED,Single,5
C00031,22,Male,Indian,Sharjah,7000-15000 AED,Married,5
C00032,18,Female,Other,Ras Al Khaimah,<3000 AED,Single,2
C00033,25,Female,Pakistani,Dubai,7000-15000 AED,Single,1
C00034,24,Female,Indian,Sharjah,3000-7000 AED,Single,2
C00035,34,Female,Emirati,Abu Dhabi,3000-7000 AED,Single,5
C00036,39,Female,Filipino,Ajman,3000-7000 AED,Single,2
C00037,44,Male,Other,Abu Dhabi,7000-15000 AED,Single,3
C00038,60,Male,Other,Abu Dhabi,7000-15000 AED,Married,4
C00039,32,Male,British,Ajman,<3000 AED,Single,4
C00040,47,Female,Other,Abu Dhabi,<3000 AED,Married,3
C00041,34,Male,Indian,Sharjah,3000-7000 AED,Married,5
C00042,42,Female,Filipino,Ajman,7000-15000 AED,Single,5
C00043,31,Female,Indian,Ras Al Khaimah,<3000 AED,Single,5
C00044,38,Female,Pakistani,Dubai,>15000 AED,Single,6
C00045,45,Female,Other,Abu Dhabi,<3000 AED,Married,5
C00046,59,Female,Pakistani,Dubai,3000-7000 AED,Married,5
C00047,30,Male,Egyptian,Sharjah,3000-7000 AED,Married,5
C00048,24,Male,Bangladeshi,Dubai,<3000 AED,Single,6
C00049,44,Female,Other,Dubai,7000-15000 AED,Married,5
C00050,20,Male,Other,Sharjah,3000-7000 AED,Single,3
C00051,31,Female,Indian,Fujairah,7000-15000 AED,Married,1
C00052,38,Female,Indian,Dubai,7000-15000 AED,Single,4
C00053,33,Male,Filipino,Ras Al Khaimah,3000-7000 AED,Single,5
C00054,30,Male,Emirati,Abu Dhabi,<3000 AED,Married,3
C00055,24,Male,Other,Sharjah,3000-7000 AED,Married,5
C00056,36,Female,Other,Dubai,3000-7000 AED,Married,5
C00057,55,Female,Filipino,Dubai,7000-15000 AED,Married,2
C00058,32,Male,Emirati,Dubai,<3000 AED,Single,5
C00059,31,Male,Indian,Dubai,<3000 AED,Single,6
C00060,34,Female,Indian,Dubai,3000-7000 AED,Married,5
C00061,18,Female,Egyptian,Abu Dhabi,3000-7000 AED,Single,3
C00062,18,Male,Indian,Dubai,<3000 AED,Married,3
C00063,31,Female,Emirati,Abu Dhabi,<3000 AED,Single,5
C00064,24,Female,Filipino,Abu Dhabi,7000-15000 AED,Married,2
C00065,18,Male,Filipino,Dubai,<3000 AED,Single,7
C00066,27,Male,British,Sharjah,3000-7000 AED,Married,7
C00067,24,Male,Pakistani,Abu Dhabi,<3000 AED,Married,2
C00068,48,Female,Indian,Umm Al Quwain,<3000 AED,Single,4
C00069,52,Male,Pakistani,Dubai,<3000 AED,Married,2
C00070,29,Male,Indian,Fujairah,<3000 AED,Married,3
C00071,40,Female,American,Abu Dhabi,>15000 AED,Single,5
C00072,30,Male,Jordanian,Dubai,7000-15000 AED,Single,2
C00073,21,Female,Filipino,Umm Al Quwain,3000-7000 AED,Married,4
C00074,25,Female,Filipino,Abu Dhabi,3000-7000 AED,Married,2
C00075,18,Female,Other,Sharjah,7000-15000 AED,Married,3
C00076,36,Male,Other,Dubai,>15000 AED,Single,6
C00077,28,Male,Pakistani,Ajman,3000-7000 AED,Married,7
C00078,47,Male,Other,Abu Dhabi,7000-15000 AED,Single,5
