loyalty_id,customer_id,join_date,tier,points_balance,lifetime_spend,last_activity_date,enrolled_marketing
L002848,C02848,2023-07-09,Gold,36,54.24,2025-06-02,False
L000742,C00742,2024-06-06,Silver,1289,1933.92,2025-07-12,True
L004708,C04708,2023-12-18,Gold,493,740.93,2025-09-20,False
L002988,C02988,2025-06-04,Silver,905,1357.79,2025-09-24,True
L001816,C01816,2024-07-22,Silver,333,500.25,2025-05-30,True
L002305,C02305,2025-09-11,Silver,1169,1754.24,2025-07-03,True
L004457,C04457,2023-11-24,Gold,2585,3878.96,2025-04-25,True
L003582,C03582,2025-08-20,Silver,380,571.39,2025-06-10,True
L002969,C02969,2025-04-30,Gold,542,814.36,2025-05-20,True
L000947,C00947,2024-05-25,Silver,1247,1870.51,2025-06-11,True
L002267,C02267,2025-06-19,Gold,410,615.07,2025-09-01,False
L003593,C03593,2023-11-28,Silver,935,1403.99,2025-06-11,True
L004902,C04902,2025-08-19,Silver,692,1038.82,2025-09-30,True
L003581,C03581,2024-12-23,Platinum,1919,2879.57,2025-07-05,True
L001126,C01126,2023-06-07,Silver,76,114.07,2025-06-02,False
L004511,C04511,2025-02-04,Silver,135,202.95,2025-07-20,False
L004389,C04389,2024-08-11,Silver,156,234.9,2025-08-21,False
L001059,C01059,2023-12-15,Platinum,184,277.4,2025-06-20,True
L000341,C00341,2023-06-16,Silver,1441,2162.21,2025-06-10,True
L003418,C03418,2025-09-14,Gold,42,63.63,2025-07-17,True
L000249,C00249,2023-08-06,Gold,739,1108.78,2025-05-04,True
L002313,C02313,2024-02-19,Silver,1531,2296.8,2025-08-28,True
L002146,C02146,2023-10-22,Silver,385,578.59,2025-05-11,True
L000502,C00502,2023-08-12,Silver,1033,1549.87,2025-04-30,True
L004182,C04182,2024-07-13,Gold,1086,1630.3,2025-04-19,False
L002965,C02965,2023-11-26,Gold,1391,2086.94,2025-04-07,True
L001626,C01626,2025-02-22,Gold,651,977.42,2025-05-15,False
L001667,C01667,2025-04-02,Silver,401,602.81,2025-08-12,False
L004339,C04339,2024-11-16,Gold,485,727.84,2025-05-18,False
L004918,C04918,2023-11-10,Gold,539,809.43,2025-05-19,True
L002482,C02482,2025-08-15,Silver,701,1052.68,2025-04-11,False
L000266,C00266,2023-04-20,Gold,521,782.73,2025-08-16,False
L004880,C04880,2025-03-22,Silver,1583,2375.88,2025-06-01,True
L004020,C04020,2024-09-21,Silver,1909,2863.89,2025-05-24,False
L003877,C03877,2025-07-17,Gold,17,26.7,2025-04-14,True
L002996,C02996,2024-06-19,Gold,458,687.39,2025-08-05,True
L003888,C03888,2025-03-11,Platinum,438,657.91,2025-08-08,True
L000037,C00037,2024-03-24,Silver,650,976.26,2025-09-02,False
